author,comment
Aman Maldar,1:25 The variable 'message' wasn't created inside the inner_function but inner_function does have access to message variable. This is called free variable. Spot on. Thanks for the awesome description.
Prateek Paranjpe,You are real deal @Corey!! Thanks for the tut.
Jerry Barnes,"Thank you so much, Corey, for sharing your knowledge!
I find that your teaching style really suits my learning style!
Thank you, thank you, thank you!"
Lightning in My Hands,"27:35 - ""yo dawg, I got wraps for your wraps"""
Saitom Sai,Thank you Sir ! you made my day by learning a new python concept !
EchoesFromNepal,You have a great explanation technique. Now I'm clear about decorators.
Daniel Florez,"The subtitles don't work  :,,v"
Savage FPV,King of explanation
wei so,decorator should be called inceptionator instead....
sams manik,Great video Corey...Well thought-out tutorial...keep it up
Rui Xu,best tutorial for python!!!
Pantelis Karamolegkos,"At about 12:15, Is the return statement for the original_function within the wrapper function necessary? Doesn't this stops us from adding functionality AFTER the execution of the original function? e.g.

1. def decorator_funcion(original_function):

2.    def wrapper_function():
3.       print(""Before Decorator"")
4.       original_function()
5.       print(""After Decorator"")
6.
7.    return wrapper_function

If we add a return statement in line 4, line 5 will not be executed, right?"
Mikhail Lyapich,"Nice video, dude! Realy helpful.
Can you please explain metaclasses in the next videos?"
abdallah elkasass,you are  awesome Corey >3
Sumit Singhal,"Hi Corey,

Your videos are just awesome.
They made learning python really fun for me.
I am requesting you to add videos in these topics too.
Descriptors
MetaClasses
More in Magic Methods"
VIRAJ BHOSLE,Top quality content. Thanks a lot!
Nahian Al Hasan,What a legend.
HypergeometricTest,functions within functions within functions.
karthikeyan mg,"Sould we explicity say  "" return original_function()""  inside wrapper function and then again return wrapper_function.
Cant we just say ""original_function()"" inside wrapper_function instead of ""return original_function()""
Because any way wrapper_func is returned"
wilk85,Well you're very good teacher Corey but this is so confusing :(
Murmad Man,"Good summary of closure, first class functions and their relationships at beginning of video
decarator- takes function as an argument and returns function without altering the original function's code

 point

 original decorator function with display function passed in

 self.original_function= original_function ties function with instance of class

 @my_logger allows you to add logging function to any function, takes the repetition out of logging 
 best decorator summary
 you are running the function in result=, you are NOT returning the result

timer function adds timer functionality to function you pass in

@wraps wraps the original function, so you can pull up the appropriate name etc of the original passed in function instead of the 'return WRAPPER' of the wrapper function. you put @wraps in front of sub wrapper function"
Chayo Pérez,Awesome video! I have an exam in like an hour and you actually made me understand the contents :D You are a very good teacher. I'll definitely watch more of your videos when I'm less in a hurry :)
Stephan Abs,"Thanks mate, great explanation"
Yan Le,"Geat videos, looking forward to hear your explianation for descriptor"
Gyan,"As per my understanding closure allows to execute the function if any function which is used without closures will return the 
defination of the function"
Kema_o_o,Great tutorial.  I finally understand Decorators now.
SalRite,"@Corey, thanks for another great video. I do have some doubts:
what does it mean many people say C (language) wraps Python? Or this thing is just a Wrapper on that.
Also, Do you have any video on Multithreading and its use?"
Michael Dymshits,"The videos are very nice!

Possible suggestion for improvement:

I would split this video into 2 videos.

The ""double decorator"":  

@my_logger
@my_timer

and its motivation is less clear"
Gia Phat Ha,"thanks man, I was very confused about this a week ago. btw, what IDE do you use? The font seems nice"
Goutham Anush Aenugula,I have watched several videos and read several websites to know about decorators but no one could explain me clearly the functionality of a decorator. Now it's crystal clear :)
Francisco Gonzalez,"The video is really good, but one question, how do you comment so fast without placing the cursor at the beginning? Thank you in advance!"
ansari imtiyaz ahmed Khadim Husain,Very well explained .. keep it up
biophr34k,"Hands down, best viedo on Python decorators in my humble opinion. Thanks a lot and congratulations!"
Satheesh kumar,"I am not sure why I get this syntax error for Decorator class: please advise
   @decorator_class

TypeError: decorator_class() takes no arguments



Process finished with exit code 1"
Jorge E.,Why do you import the logging and time modules inside the functions??  It seems redundant doesn't it? Or am I missing something?  Great video btw.
martin maurer,"Such a champion you are making even me understand something a complex as decorators. Thatßs close to impossible, but for some reason I totally get what you teach."
fadi ksasbh,its the same for callback in javascirpit?
vinod kashyap,Amazing Thank You Sir
Priyam Nigam,"Please upload tutorials of 'Asynchronous Python Development '. ie. Process and Threads used in python, ThreadPoolExecutor, ProcessPoolExecuter etc. 

thanks, in advance"
Zero,This is my favorite anime.
Shanene Larissa,"Excellent video and explanation!
It is fun to notice that we had this same behavior in javascript since ever. The ""problem"" is just javascript..."
Kazuma Yoshiyuki,"great job mate, but what's the editor you are using ?"
safeeq ahmed,"Thanks for the awesome video. Can you please let me know if the original function can be executed as it is after being decorated? I mean, if I want the display function to just print “display function ran” after decorating it, how can I do that?"
Aaron Howard,"Good videos but try to break videos up, 30 mins is a little long."
Shri Kanase,Amazing tutorial but I'm having a little trouble understanding how the @wraps decorator made it output the statements correctly. Could you explain that?
Ian Drago,"First time I watched = brains smaked against the wall 90%
Second time I watched = brains smaked against the wall 80%
Okay I'll have to watch this about 10 times to understand how to wrap the wrapped wrappers that are decorated by other wrappers.. lol"
Alexander,Thank you for this video !
Atlas Tech,This is a brilliant video!
xu zeyuan,"I have one question: when in the end you are using the @wraps , and stack decorators, does it essentially apply the two decorators SEPARATELY to the original function? (instead of nesting the two together) . Thank you for the tutorial!"
Saul Garza,"I learned more about decorators with you in the first 15 min than I did with my professor in the two weeks he taught. Bless up homie, need to ace this final in two day."
Arindam Roychowdhury,Best Tutorial video ever. Perfect narration . Great Examples . Good luck .
Saurabh Bagalkar,This guy is awesome!!!
Rec1337,"Thank you Corey, for every video you made!!!"
David M. Johnston,"I love you man, thank you so much, it's so much clearer now!"
Narek Stepanyan,"Thank you from Spain. Your videos are really good and usefull.
why do you need to import time or logging several time in the scrip?
why it do not work if you import it only once at the top of the script?
Thank you in advice"
kuls43,"Sorry I am new to python but just wanna know why we need wrapper function here, why we can't do something like below.

def decorator_func(original_func):
        print(""some decorating message"")
        return original_func()"
Yi-hsiu Lee,You are a hero!
kanakanayaham selvendira,Excellent Teaching. I have watched so many people tutorial but your's the best. Is there anyway I can get your scripts in the printable format  or download those tutorial files Please? It will be very handy.
townheadbluesboy,Another great tutorial Corey - you're very good at explaining this.  Take me a couple of watches to understand it fully!
Kevin Ryan,Fantastic tutorial on decorators really clear and intuitive.
John Shen,Thanks! I finally understood this
Mirian Andrew,Thanks a lot for helping  me without charge.
pavan kumar juturu,"thanks a lot....watched first class functions, closures and decorators together helped me understand this topic much better...
also i have seen decorators used inside a class also like @Getter and @Setter...can you please cover these in your upcoming OO Python videos?"
Math Jon,you are the man
Anthony Riggi,13:25  for using Decorators with Classes
mathIsART,Beautiful tutorial.
László Szoboszlai,i think i grasped the idea of decorators as my first two idea was to apply it to logging and timing... (before you started the examples)
Hendro Yohanes,I came here because you told me in the OOP classmethods and staticmethods tutorial to understand decorators
Giovanni,Fantastic tutorial! Decorators make sense for me now.
nobody knows,"my wrapper function couldn't wrap head function before. After seeing your video my wrapper get's the head function to work :D :D :D good work mate, keep up"
Stan Ihesiulo,"edit: nvm. I watched through the whole vid.

one question. how is the decorator function different from closure? is it just that the argument passed in a decorator is a function instead of a standard argument as in the closure? I'm confused cuz they seem like essentially the same thing"
Shibasis Patel,The best lecture I ever had..
kanakanayaham selvendira,"Can you please provide the source code in the tutorial, please?"
Shivansh Mishra,"why did you use **kwargs i cannot understand
and instead of *args and **kwargs can i simply out there two variables 
at 13:42"
Asheesh Dhupper,">>> display()

Traceback (most recent call last):

  File ""<pyshell#53>"", line 1, in <module>

    display()

TypeError: 'NoneType' object is not callable

I am getting this error when I executed the same code in idle"
Atul Kumar,"Man seriously,are you aristotle or pythagoras or plato,awesome"
RagHelen,Wouldn't it be better to not write any of these lines of code and just make t2 a constant with the value of 0?
Boris Đurkan,Excellent! Thanks!
Tobi DEGNON,"Hello there, awesome video as usual, I Have a question though.
Despite how many times I think about it, I don't see the use of returning the original function in the wrapper function, even if we just call the original function in the wrapper without returning it at the end, it doesn't change anything, so l want to know if there is any need of returning the original function in the wrapper, thanks :)"
Krishandan Shanmugasundaram,Excellent video. Perfect pace and selection of examples and use cases. Thank you very much
Xin Li,Your video is awesome. Thanks.
Abhishek Dhar,Crystal Clear concept ......loved your explanation......Decorator now is crystal clear to me
Daniel Black,"I joined a team a few months ago as my first stint as a developer of any stripe. I'm working with a relatively mature codebase that needs a lot of love, in terms of docstrings, testing, and being able to run tests locally. I'd edited a few scripts to include logging and argument-parsing directives, but I knew there was a better way. I finally got around to looking at decorators and your video really helped me form an intuition. Thanks."
novicetech1,"Hi Corey - This was awesome and very helpful. Please do more of these. As you know, I'm new to Python programming (programming period really) so I am always looking for practical ways to use what I learn and your videos are the only ones I use. Thanks."
midinerd,ahhh the wrapper() def at 22:17 (for example) is using closure to keep the orig_func resolution without it being in the args list. ahhh thank you (realized this in your follow-up video higher order functions)  thanks!
kanakanayaham selvendira,"Can we get the source code in the tutorial, please?"
sunil sahu,Great explaination
arvind kumar patel,You are really good. I have watched and liked each of your videos  on Python. Can you please add some videos on Python design patterns.
Александр Михеев,Thank you very much!
sodapopinski,so basically decorators turn variables into func????
kapil sharma,please release videos on data science and machine learning. after your recent update i haven't seen any      new video
Aram Hamidi,Best tutorial!
digitalaks,"Just at the moment when I was getting question ""What if I want timer as well as logging?"" you come up with explanation for that. Wonderful mind reading of the viewer!"
Reese C,regular expressions and decorators are definitely my most confusing parts of python and you easily helped them make sense!  Thank you.  They should call decorators PORTALS...that's basically what they are...it gives your function an easy portal to be used anywhere
saustin98,"Well done, Corey. I'm just learning Python, and decorators were a bit hazy to me. You laid it out beautifully. Thanks!!!"
Eidui X,"I like your video very much, it explains the concept clear and simple. Thank you"
Robert Kinsey,"Nice tutorial, thank you, one thing I noticed, is that with the time example, if you don't put the time.sleep in, then the result seems to be random from 0.0001 to over 8 seconds, yet it is only taking a split second to run. Is there a reason for that, or have I just mistyped my code."
tapp3r,"Definitely gonna have to watch this one a few times to really understand this, but it's a good one as usual - just a bit more advanced than I expected."
Rodrigo Vieira,"Hey great video tutorial!
Is that a way to decorate an object? And also add properties to this object through a decorator?"
Minh Nguyễn,"Thank a lot for giving me the ideal about @... stuff, also when I looked the flask source code for app.route() decorator, I saw


def route(self, rule, **options):
       def decorator(f):

            endpoint = options.pop('endpoint', None)

            self.add_url_rule(rule, endpoint, f, **options)

            return f

        return decorator


I think this is a very interesting case of which the explaination was given as below"
George Paxson,It's just for decoration; that's it and that's all.   Woo Woo!
Sravanthi kaja,"Hi Corey, I guess there is no need of return for call in original_function() in the Decorator as print is given in Original_function definition. Thanks a lot for your vedios."
